YEAR,SEASON_REF,SEASON,PROJECT_CODE,PROJECT,TRIP_NO,ADFG_NO,VESSEL_NAME,SAMPLE_DATE,START_DATE,END_DATE,TICKET_NO,I_REGISTRATION_AREA_CODE,I_FISHERY_CODE,I_FISHERY,DISTRICT,SUB_DISTRICT,SPECIMEN_NO,SPECIES_CODE,SPECIES,I_SPECIES_CLASS_CODE,I_SPECIES_CLASS,SEX_CODE,SEX,RECRUIT_STATUS,WIDTH_MILLIMETERS,LENGTH_MILLIMETERS,CHELA_HEIGHT_MILLIMETERS,WEIGHT_GRAMS,SHELL_CONDITION_CODE,SHELL_CONDITION,LEG_CONDITION_CODE,LEG_CONDITION,PARASITE_CODE,PARASITE,BLACKMAT_CODE,BLACKMAT,DURO_READING_1,DURO_READING_2,DURO_READING_3,COMMENTS
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,1,923,Golden king crab,CF,Golden King Crab,1,Male,PR4,,200,,4900,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,2,923,Golden king crab,CF,Golden King Crab,1,Male,PR3,,191,,4550,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,3,923,Golden king crab,CF,Golden King Crab,1,Male,PR2,,194,,4950,3,New,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,4,923,Golden king crab,CF,Golden King Crab,1,Male,PR2,,180,,3900,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,5,923,Golden king crab,CF,Golden King Crab,1,Male,PR4,,197,,4700,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,6,923,Golden king crab,CF,Golden King Crab,1,Male,PR3,,182,,3950,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,7,923,Golden king crab,CF,Golden King Crab,1,Male,PR3,,187,,4600,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,8,923,Golden king crab,CF,Golden King Crab,1,Male,PR4,,206,,5950,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,9,923,Golden king crab,CF,Golden King Crab,1,Male,PR4,,200,,4750,4,Old,1,Normal,1,None present,0,None Observed,,,,
2012,12-Nov,Oct2011 - Sep12,5,Commercial Golden King Crab Trip,3001,44010,PATRIOT,2/22/2012,2/16/2012,2/20/2012,3000141,A,502,Icy Strait GKC,114,25,10,923,Golden king crab,CF,Golden King Crab,1,Male,PR1,,172,,3600,3,New,1,Normal,1,None present,0,None Observed,,,,
